Row_number	Gene_Name	File_Location
329	group_10435	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL329
330	group_10311	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL330
331	group_10308	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL331
332	group_10269	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL332
333	radC	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL333
334	group_10158	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL334
335	group_10156	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL335
336	group_10150	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL336
337	group_10134	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL337
338	group_10120	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL338
339	group_10113	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL339
340	group_10096	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL340
341	group_10091	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL341
342	group_10058	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL342
343	group_10056	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL343
344	group_10053	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL344
345	group_10051	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL345
346	group_10050	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL346
347	group_10039	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL347
